Removed Pin From Net: NetName=CAN_N Pin=J9-2
Removed Pin From Net: NetName=CAN_INH Pin=R6-1
Removed Pin From Net: NetName=PRE_VCC_SENSE Pin=U2-4
Removed Pin From Net: NetName=VCC_SENSE Pin=U2-5
Removed Pin From Net: NetName=PRE_12V_SENSE Pin=U2-6
Removed Pin From Net: NetName=12V_SENSE Pin=U2-7
Removed Pin From Net: NetName=INT_3V3_SENSE Pin=U2-8
Removed Pin From Net: NetName=INT_5V_SENSE Pin=U2-9
Change Component Footprint: Designator=J9 Old Footprint=FP-43650-0201-MFG New Footprint=FP-455580003-MFG
Change Component Comment : Designator=J9 Old Comment=43650-0201 New Comment=455580003
Change Managed Component Library Link : Designator=J9 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=ECE96586-FDFF-4973-803F-0E3E0A3A169E New ItemGUID=B10C249F-5E6C-4CA1-8E15-DDD4CFB2832A Old RevisionGUID=C0F7BCD0-B540-49AC-8392-81B3E0344421 New RevisionGUID=BE1DC095-79E4-4677-916A-97B751BAA263
Change component parameters: Designator = "J9" ("J9"); Footprint = "FP-43650-0201-MFG"; UniqueID = "\QYVQENWB" ("\QYVQENWB")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.molex.com/webdocs/datasheets/pdf/en-us/0455580003_PCB_HEADERS.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Tin,Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "8A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CONN HEADER R/A 6POS 4.2MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Footprint Url"; Value = "https://www.molex.com/pdm_docs/sd/455580003_sd.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "10.38mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "455580003"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Conn Power HDR 6 POS 4.2mm Solder ST Thru-Hole 6 Terminal 1 Port Mini-Fit Jr™ Tray"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Contacts"; Value = "6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Rows"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/45558-0003-molex-7672845"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "4.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standoff Height"; Value = "0.4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°C to +105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "600V"; VariantName = "[No Variations]"
Added Component: Designator=C34(CAPC2013X145X50ML20T25)
