Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Ccomp,AVX,08053A332JAT2A,1,0.06,6.75,Cap: 3.3 nF  Total Derated Cap: 3.3 nF  VDC: 25 V  ESR: 0 Ω  Package: 0805  
Rcomp,Vishay-Dale,CRCW040213K3FKED,1,0.01,3,Resistance: 13.3 kΩ  Tolerance: 1.0%  Power: 63 mW  
Ccomp2,Kemet,C0603C270J3GACTU,1,0.01,4.68,Cap: 27 pF  Total Derated Cap: 27 pF  VDC: 25 V  ESR: 0 Ω  Package: 0603  
Rfbt,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbb,Vishay-Dale,CRCW040219K1FKED,1,0.01,3,Resistance: 19.1 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rboot,Vishay-Dale,CRCW04021R00FKED,1,0.01,3,Resistance: 1 Ω  Tolerance: 1.0%  Power: 63 mW  
Rt,Vishay-Dale,CRCW060354K9FKEA,1,0.01,4.68,Resistance: 54.9 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rconfig,Vishay-Dale,CRCW060341K2FKEA,1,0.01,4.68,Resistance: 41.2 kΩ  Tolerance: 1.0%  Power: 100 mW  
Cvcc,MuRata,GRM188R71A225KE15D,1,0.02,4.68,Cap: 2.2 µF  Total Derated Cap: 2.2 µF  VDC: 10 V  ESR: 9 mΩ  Package: 0603  
Cinx,TDK,C2012X7R2A104K125AA,1,0.03,6.75,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 100 V  ESR: 20.73 mΩ  Package: 0805  
Rpg,Vishay-Dale,CRCW0603100KFKEA,1,0.01,4.68,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 100 mW  
Cout,MuRata,GRM32ER61C476KE15L,8,0.17,14.7,Cap: 47 µF  Total Derated Cap: 250 µF  VDC: 16 V  ESR: 3.04 mΩ  Package: 1210  
Cin,Panasonic,50SVPF10M,3,0.59,73.96,Cap: 10 µF  Total Derated Cap: 30 µF  VDC: 50 V  ESR: 40 mΩ  Package: 6.3x6  
U1,Texas Instruments,LM704A0RRXRQ1,1,2.45,64,
Rsense,Panasonic,ERJ-M1WTF4M0U,1,0.17,43.16,Resistance: 4 mΩ  Tolerance: 1.0%  Power: 1 W  
Cboot,MuRata,GRM155R71A473KA01D,1,0.01,3,Cap: 47 nF  Total Derated Cap: 47 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
L1,Coiltronics,HC2LP-4R7-R,1,3.81,449.44,L: 4.7 µH  DCR: 4.6 mΩ  IDC: 17 A  
Cvdda,MuRata,GRM155R61A474KE15D,1,0.02,3,Cap: 470 nF  Total Derated Cap: 470 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
