Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=INT_3V3 Pin=C2-2
Removed Pin From Net: NetName=SD_DAT0 Pin=R6-1
Removed Pin From Net: NetName=NetR6_1 Pin=R6-2
Removed Pin From Net: NetName=NetR8_1 Pin=R8-1
Removed Pin From Net: NetName=SD_CMD Pin=R8-2
Removed Pin From Net: NetName=NetR8_1 Pin=U1-1
Removed Pin From Net: NetName=INT_3V3 Pin=U1-2
Removed Pin From Net: NetName=NetR6_1 Pin=U1-4
Removed Pin From Net: NetName=NetD3_2 Pin=U1-5
Removed Pin From Net: NetName=NetD3_2 Pin=U1-6
Removed Pin From Net: NetName=NetR6_1 Pin=U1-9
Removed Pin From Net: NetName=NetR9_1 Pin=U1-12
Removed Pin From Net: NetName=NetD3_3 Pin=U1-15
Removed Pin From Net: NetName=NetD3_3 Pin=U1-16
Removed Member From Class: ClassName=SD_0 Member=C2
Removed Member From Class: ClassName=SD_0 Member=D3
Removed Member From Class: ClassName=SD_0 Member=R4
Removed Member From Class: ClassName=SD_0 Member=R6
Removed Member From Class: ClassName=SD_0 Member=R7
Removed Member From Class: ClassName=SD_0 Member=R8
Removed Member From Class: ClassName=SD_0 Member=U1
Change Component Footprint: Designator=U1 Old Footprint=LM2902Q4T-Footprint-1 New Footprint=D0014A_L
Change Component Comment : Designator=U1 Old Comment=LM2902Q4T New Comment=LM324D
Change Managed Component Library Link : Designator=U1 Old VaultGUID=D5CACE43-709A-4464-BB04-ED577B050C2A New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=93075683-3c28-496a-bc03-4e515d6f21e6 New ItemGUID=13EBB4E7-07A7-461F-9387-517BE2D9FCEA Old RevisionGUID=9b6a1d9c-ecfe-4f61-9a96-4da6b92f8665 New RevisionGUID=34BB03C5-0718-4B59-87CC-7ADC7008A30B
Change component parameters: Designator = "U1" ("U1"); Footprint = "LM2902Q4T-Footprint-1"; UniqueID = "\STLYSLQG\QCBCBJVG" ("\STLYSLQG\QCBCBJVG")
Change component parameters (AddParameter): Name = "Common Mode Rejection Ratio"; Value = "65dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.ti.com/lit/ds/symlink/lm324.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Rev. W, 03/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage (Max)"; Value = "±16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage (Min)"; Value = "±1.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage (Typ)"; Value = "±3/±5/±9/±12/±15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Bias Current"; Value = "250nA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Offset Voltage"; Value = "7mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of  Elements"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp Range"; Value = "0Cto70C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Classification"; Value = "Commercial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "14-Pin Small Outline Integrated Circuit, Body 8.65 x 3.9 mm, Pitch 1.27 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "D0014A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Type"; Value = "SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package URL"; Value = "http://www.ti.com/lit/ml/mpds177g/mpds177g.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Count"; Value = "14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Supply Requirement"; Value = "Single/Dual"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rail/Rail I/O Type"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shut Down Feature"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Single Supply Voltage (Max)"; Value = "32V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Single Supply Voltage (Min)"; Value = "3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Single Supply Voltage (Typ)"; Value = "5/9/12/15/18/24/28V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Slew Rate"; Value = "0.5V/us"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "Bipolar"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "GeneralPurposeAmplifier"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Unity Gain Bandwidth Product"; Value = "1.2MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Gain in dB"; Value = "100dB"; VariantName = "[No Variations]"
Added Component: Designator=C?(FP-C0402-BB-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.10 µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CAP CER 0.1UF 10V X5R 0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC10050X50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0402C104K8PACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Capacitor 100 nF 10 VDC 0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0402c104k8pactu-kemet-140039"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "C0402-BB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Characteristic"; Value = "X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "15%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.10 µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "10 V"; VariantName = "[No Variations]"
Added Component: Designator=D?(WL-SBCD_0606)
Added Component: Designator=R?(RESC1609X55X30LL15T15)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case\/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "ThickFilm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "02/2017"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.45mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "LeadFree"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.85 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "NoSVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10KOhm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm\/degreesC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Component: Designator=R?(RESC1608X55X30LL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3EKF1001V"; VariantName = "[No Variations]"
Added Component: Designator=R?(RESC1608X55X30LL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3EKF1001V"; VariantName = "[No Variations]"
Added Component: Designator=R?(RESC1609X55X30LL15T15)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case\/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "ThickFilm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "02/2017"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.45mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "LeadFree"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.85 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "NoSVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10KOhm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm\/degreesC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Component: Designator=U?(LM2902Q4T-Footprint-1)
Added Component: Designator=U?(LM2902Q4T-Footprint-1)
