Change Component DesignItemId : Designator=J9 Old DesignItemId=CMP-002-00093-1 New DesignItemId=CMP-002-00093-2
Change Component Footprint: Designator=J9 Old Footprint=15-91-0140-Footprint-1 New Footprint=15-91-0140-Footprint-1
Change Managed Component Library Link : Designator=J9 Old VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 New VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 Old ItemGUID=8e0db7d7-abe7-4da0-aca3-9f6df6abc10c New ItemGUID=8e0db7d7-abe7-4da0-aca3-9f6df6abc10c Old RevisionGUID=35a6a55e-7d0e-4b5e-8bbc-b83bef0ba8d9 New RevisionGUID=8855f42d-812f-4276-b2b1-f5fbac6e9c82
Add Pin To Net: Unknown Pin: Pin MH1-2
Add Pin To Net: Unknown Pin: Pin MH1-3
Add Pin To Net: Unknown Pin: Pin MH1-4
Add Pin To Net: Unknown Pin: Pin MH1-5
Add Pin To Net: Unknown Pin: Pin MH1-6
Add Pin To Net: Unknown Pin: Pin MH1-7
Add Pin To Net: Unknown Pin: Pin MH2-2
Add Pin To Net: Unknown Pin: Pin MH2-3
Add Pin To Net: Unknown Pin: Pin MH2-4
Add Pin To Net: Unknown Pin: Pin MH2-5
Add Pin To Net: Unknown Pin: Pin MH2-6
Add Pin To Net: Unknown Pin: Pin MH2-7
Add Pin To Net: Unknown Pin: Pin MH3-2
Add Pin To Net: Unknown Pin: Pin MH3-3
Add Pin To Net: Unknown Pin: Pin MH3-4
Add Pin To Net: Unknown Pin: Pin MH3-5
Add Pin To Net: Unknown Pin: Pin MH3-6
Add Pin To Net: Unknown Pin: Pin MH3-7
Add Pin To Net: Unknown Pin: Pin MH4-2
Add Pin To Net: Unknown Pin: Pin MH4-3
Add Pin To Net: Unknown Pin: Pin MH4-4
Add Pin To Net: Unknown Pin: Pin MH4-5
Add Pin To Net: Unknown Pin: Pin MH4-6
Add Pin To Net: Unknown Pin: Pin MH4-7
Add Pin To Net: Unknown Pin: Pin MH5-2
Add Pin To Net: Unknown Pin: Pin MH5-3
Add Pin To Net: Unknown Pin: Pin MH5-4
Add Pin To Net: Unknown Pin: Pin MH5-5
Add Pin To Net: Unknown Pin: Pin MH5-6
Add Pin To Net: Unknown Pin: Pin MH5-7
Add Pin To Net: Unknown Pin: Pin MH6-2
Add Pin To Net: Unknown Pin: Pin MH6-3
Add Pin To Net: Unknown Pin: Pin MH6-4
Add Pin To Net: Unknown Pin: Pin MH6-5
Add Pin To Net: Unknown Pin: Pin MH6-6
Add Pin To Net: Unknown Pin: Pin MH6-7
Add Pin To Net: Unknown Pin: Pin MH7-2
Add Pin To Net: Unknown Pin: Pin MH7-3
Add Pin To Net: Unknown Pin: Pin MH7-4
Add Pin To Net: Unknown Pin: Pin MH7-5
Add Pin To Net: Unknown Pin: Pin MH7-6
Add Pin To Net: Unknown Pin: Pin MH7-7
Add Pin To Net: Unknown Pin: Pin MH8-2
Add Pin To Net: Unknown Pin: Pin MH8-3
Add Pin To Net: Unknown Pin: Pin MH8-4
Add Pin To Net: Unknown Pin: Pin MH8-5
Add Pin To Net: Unknown Pin: Pin MH8-6
Add Pin To Net: Unknown Pin: Pin MH8-7
Add Pin To Net: Unknown Pin: Pin MH9-2
Add Pin To Net: Unknown Pin: Pin MH9-3
Add Pin To Net: Unknown Pin: Pin MH9-4
Add Pin To Net: Unknown Pin: Pin MH9-5
Add Pin To Net: Unknown Pin: Pin MH9-6
Add Pin To Net: Unknown Pin: Pin MH9-7
Add Pin To Net: Unknown Pin: Pin MH10-2
Add Pin To Net: Unknown Pin: Pin MH10-3
Add Pin To Net: Unknown Pin: Pin MH10-4
Add Pin To Net: Unknown Pin: Pin MH10-5
Add Pin To Net: Unknown Pin: Pin MH10-6
Add Pin To Net: Unknown Pin: Pin MH10-7
Add Pin To Net: Unknown Pin: Pin MH11-2
Add Pin To Net: Unknown Pin: Pin MH11-3
Add Pin To Net: Unknown Pin: Pin MH11-4
Add Pin To Net: Unknown Pin: Pin MH11-5
Add Pin To Net: Unknown Pin: Pin MH11-6
Add Pin To Net: Unknown Pin: Pin MH11-7
Add Pin To Net: Unknown Pin: Pin MH12-2
Add Pin To Net: Unknown Pin: Pin MH12-3
Add Pin To Net: Unknown Pin: Pin MH12-4
Add Pin To Net: Unknown Pin: Pin MH12-5
Add Pin To Net: Unknown Pin: Pin MH12-6
Add Pin To Net: Unknown Pin: Pin MH12-7
Add Pin To Net: Unknown Pin: Pin MH13-2
Add Pin To Net: Unknown Pin: Pin MH13-3
Add Pin To Net: Unknown Pin: Pin MH13-4
Add Pin To Net: Unknown Pin: Pin MH13-5
Add Pin To Net: Unknown Pin: Pin MH13-6
Add Pin To Net: Unknown Pin: Pin MH13-7
